Symbol,Total Days,Matching Days,Mismatch Days,Max Open Diff,Max High Diff,Max Low Diff,Max Close Diff,Max Volume Diff
AAPL,99,94,5,0.005000000000052296,0.005000000000023874,0.0049999999999954525,0.0,921924
MSFT,99,94,5,0.0049999999999954525,0.004099999999993997,0.0049999999999954525,0.0,208021
GOOGL,99,94,5,0.005000000000052296,0.0049999999999954525,0.0049999999999954525,0.0,1240345
AMZN,99,94,5,0.005000000000052296,0.0049999999999954525,0.005000000000023874,0.0,440102
META,99,95,4,0.005000000000109139,0.0049999999999954525,0.0049999999999954525,0.0049999999999954525,112672
TSLA,99,94,5,0.0049999999999954525,0.0049999999999954525,0.0030999999999608008,0.0049999999999954525,810121
NVDA,99,94,5,0.005000000000023874,0.005000000000023874,0.005000000000023874,0.0,21922429
AMD,99,94,5,0.005000000000052296,0.005000000000052296,0.0049999999999954525,0.0049999999999954525,874611
NFLX,99,94,5,0.005000000000009663,0.005000000000009663,0.005000000000009663,0.0,220067
INTC,99,94,5,0.005000000000023874,0.005000000000002558,0.005000000000002558,0.0,2680257
